name,vice
George Washington,John Adams
John Adams,Thomas Jefferson
Thomas Jefferson,Aaron Burr
James Madison,George Clinton
James Monroe,Daniel D. Tompkins
John Quincy Adams,John C. Calhoun
Andrew Jackson,John C. Calhoun
Martin Van Buren,Richard Mentor Johnson
William Henry Harrison,John Tyler
John Tyler,Office vacant
James K. Polk,George M. Dallas
Zachary Taylor,Millard Fillmore
Millard Fillmore,Office vacant
Franklin Pierce,William R. King
James Buchanan,John C. Breckinridge
Abraham Lincoln,Hannibal Hamlin
Andrew Johnson,Office vacant
Ulysses S. Grant,Schuyler Colfax
Rutherford B. Hayes,William A. Wheeler
James A. Garfield,Chester A. Arthur
Chester A. Arthur,Office vacant
Grover Cleveland,Thomas A. Hendricks
Benjamin Harrison,Levi P. Morton
Grover Cleveland,Adlai Stevenson
William McKinley,Garret Hobart
Theodore Roosevelt,Office vacant
William Howard Taft,James S. Sherman
Woodrow Wilson,Thomas R. Marshall
Warren G. Harding,Calvin Coolidge
Calvin Coolidge,Office vacant
Herbert Hoover,Charles Curtis
Franklin D. Roosevelt,John Nance Garner
Harry S. Truman,Office vacant
Dwight D. Eisenhower,Richard Nixon
John F. Kennedy,Lyndon B. Johnson
Lyndon B. Johnson,Office vacant
Richard Nixon,Spiro Agnew
Gerald Ford,Office vacant
Jimmy Carter,Walter Mondale
Ronald Reagan,George H. W. Bush
George H. W. Bush,Dan Quayle
Bill Clinton,Al Gore
George W. Bush,Dick Cheney
Barack Obama,Joe Biden
Donald Trump,Mike Pence
Joe Biden,Kamela Harris
