name,party,president
John Jay,Federalist,George Washington
Thomas Jefferson,"Democratic-
Republican",George Washington
Edmund Randolph,Federalist,George Washington
Timothy Pickering,Federalist,George Washington
Timothy Pickering,Federalist,John Adams
Charles Lee,Federalist,John Adams
John Marshall,Federalist,John Adams
Levi Lincoln Sr.,"Democratic-
Republican",Thomas Jefferson
James Madison,"Democratic-
Republican",Thomas Jefferson
Robert Smith,"Democratic-
Republican",James Madison
James Monroe,"Democratic-
Republican",James Madison
John Graham,"Democratic-
Republican",James Monroe
Richard Rush,Federalist,James Monroe
John Quincy Adams,"Democratic-
Republican",James Monroe
Daniel Brent,"Democratic-
Republican",John Quincy Adams
Henry Clay,"Democratic-
Republican",John Quincy Adams
Henry Clay,"National
Republican",John Quincy Adams
James AlexanderHamilton,Democratic,Andrew Jackson
Martin Van Buren,Democratic,Andrew Jackson
Edward Livingston,Democratic,Andrew Jackson
Louis McLane,Democratic,Andrew Jackson
John Forsyth,Democratic,Andrew Jackson
John Forsyth,Democratic,Martin Van Buren
Jacob L. Martin,–,William Henry Harrison
Daniel Webster,Whig,William Henry Harrison
Daniel Webster,Whig,John Tyler
Hugh S. Legaré,Democratic,John Tyler
William S. Derrick,–,John Tyler
Abel P. Upshur,Whig,John Tyler
John Nelson,Whig,John Tyler
John C. Calhoun,Democratic,John Tyler
James Buchanan,Democratic,James K. Polk
John M. Clayton,Whig,Zachary Taylor
John M. Clayton,Whig,Millard Fillmore
Daniel Webster,Whig,Millard Fillmore
Charles Magill Conrad,Whig,Millard Fillmore
Edward Everett,Whig,Millard Fillmore
William Hunter,–,Franklin Pierce
William L. Marcy,Democratic,Franklin Pierce
Lewis Cass,Democratic,James Buchanan
William Hunter,–,James Buchanan
Jeremiah S. Black,Democratic,James Buchanan
William H. Seward,Republican,Abraham Lincoln
William H. Seward,Republican,Andrew Johnson
Elihu B. Washburne,Republican,Ulysses S. Grant
Hamilton Fish,Republican,Ulysses S. Grant
William M. Evarts,Republican,Rutherford B.Hayes
James G. Blaine,Republican,James A.Garfield
James G. Blaine,Republican,Chester A. Arthur
Frederick TheodoreFrelinghuysen,Republican,Chester A. Arthur
Thomas F. Bayard,Democratic,Grover Cleveland
James G. Blaine,Republican,Benjamin Harrison
William F. Wharton,Republican,Benjamin Harrison
John W. Foster,Republican,Benjamin Harrison
William F. Wharton,Republican,Grover Cleveland
Walter Q. Gresham,Democratic,Grover Cleveland
Edwin F. Uhl,Democratic,Grover Cleveland
Richard Olney,Democratic,Grover Cleveland
John Sherman,Republican,William McKinley
William R. Day,Republican,William McKinley
Alvey A. Adee,Independent,William McKinley
John Hay,Republican,William McKinley
John Hay,Republican,Theodore Roosevelt
Francis B. Loomis,Republican,Theodore Roosevelt
Elihu Root,Republican,Theodore Roosevelt
Robert Bacon,Republican,Theodore Roosevelt
Philander C. Knox,Republican,William Howard Taft
WilliamJennings Bryan,Democratic,Woodrow Wilson
Robert Lansing,Democratic,Woodrow Wilson
Frank Polk,Democratic,Woodrow Wilson
Bainbridge Colby,Democratic,Woodrow Wilson
Charles EvansHughes,Republican,Warren G.Harding
Charles EvansHughes,Republican,Calvin Coolidge
Frank B. Kellogg,Republican,Calvin Coolidge
Frank B. Kellogg,Republican,Herbert Hoover
Henry L. Stimson,Republican,Herbert Hoover
Cordell Hull,Democratic,Franklin D. Roosevelt
Edward Stettinius Jr.,Democratic,Franklin D. Roosevelt
Edward Stettinius Jr.,Democratic,Harry S. Truman
Joseph Grew,Independent,Harry S. Truman
James F. Byrnes,Democratic,Harry S. Truman
George C. Marshall,Independent,Harry S. Truman
Dean Acheson,Democratic,Harry S. Truman
H. FreemanMatthews,Independent,Dwight D. Eisenhower
John Foster Dulles,Republican,Dwight D. Eisenhower
Christian Herter,Republican,Dwight D. Eisenhower
Livingston T.Merchant,Independent,John F. Kennedy
Dean Rusk,Democratic,John F. Kennedy
Dean Rusk,Democratic,Lyndon B. Johnson
Charles E. Bohlen,Independent,Richard Nixon
William P. Rogers,Republican,Richard Nixon
Kenneth Rush,Republican,Richard Nixon
Henry Kissinger,Republican,Richard Nixon
Henry Kissinger,Republican,Gerald Ford
Philip Habib,Independent,Jimmy Carter
Cyrus Vance,Democratic,Jimmy Carter
Warren Christopher,Democratic,Jimmy Carter
David D. Newsom,Independent,Jimmy Carter
Richard N. Cooper,Independent,Jimmy Carter
Edmund Muskie,Democratic,Jimmy Carter
Alexander Haig,Republican,Ronald Reagan
Walter J. Stoessel Jr.,Independent,Ronald Reagan
George Shultz,Republican,Ronald Reagan
Michael Armacost,Independent,George H. W. Bush
James Baker,Republican,George H. W. Bush
Lawrence Eagleburger,Republican,George H. W. Bush
Frank G. Wisner,Independent,Bill Clinton
Warren Christopher,Democratic,Bill Clinton
Madeleine Albright,Democratic,Bill Clinton
Colin Powell,Republican,George W. Bush
Condoleezza Rice,Republican,George W. Bush
William J. Burns,Independent,Barack Obama
Hillary Clinton,Democratic,Barack Obama
John Kerry,Democratic,Barack Obama
Thomas A.Shannon Jr.,Republican,Donald Trump
Rex Tillerson,Republican,Donald Trump
John J. Sullivan,Republican,Donald Trump
Mike Pompeo,Republican,Donald Trump
Daniel Bennett Smith,Independent,Joe Biden
Antony Blinken,Democratic,Joe Biden
